review,rating,region,platform,language,label
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Myntra,Bengali,Legit
Received the item in good condition. Works as expected.,1,West Bengal,Myntra,English,Legit
Great product. Great service. Great everything.,1,West Bengal,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Maharashtra,Snapdeal,Bengali,Fake
OMG this is the best phone in the universe!!!!,3,Delhi,Amazon,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Karnataka,Amazon,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,West Bengal,Flipkart,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Snapdeal,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,West Bengal,Zomato,Tamil,Legit
Great product. Great service. Great everything.,5,Maharashtra,Flipkart,English,Fake
Great product. Great service. Great everything.,1,Maharashtra,Zomato,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Karnataka,Snapdeal,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Delhi,Flipkart,Tamil,Fake
Decent product for the price. Packaging could be better though.,3,Delhi,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,Karnataka,Flipkart,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,West Bengal,Amazon,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Delhi,Amazon,Hindi,Fake
Decent product for the price. Packaging could be better though.,4,Tamil Nadu,Myntra,Hindi,Legit
OMG this is the best phone in the universe!!!!,2,Maharashtra,Zomato,Telugu,Fake
Great product. Great service. Great everything.,5,Tamil Nadu,Amazon,Telugu,Fake
Great product. Great service. Great everything.,5,Karnataka,Zomato,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Delhi,Zomato,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,West Bengal,Flipkart,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Flipkart,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Snapdeal,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Karnataka,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Amazon,Bengali,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Karnataka,Flipkart,Hindi,Fake
Decent product for the price. Packaging could be better though.,3,Delhi,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,4,Maharashtra,Amazon,Hindi,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,West Bengal,Myntra,Telugu,Legit
OMG this is the best phone in the universe!!!!,3,Karnataka,Snapdeal,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,West Bengal,Snapdeal,Hindi,Fake
Received the item in good condition. Works as expected.,3,Delhi,Snapdeal,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Maharashtra,Flipkart,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,West Bengal,Amazon,English,Legit
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Amazon,Tamil,Legit
Great product. Great service. Great everything.,2,Tamil Nadu,Flipkart,Bengali,Fake
Decent product for the price. Packaging could be better though.,4,Delhi,Zomato,Telugu,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Amazon,Tamil,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Maharashtra,Flipkart,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,West Bengal,Zomato,English,Legit
Received the item in good condition. Works as expected.,3,Maharashtra,Zomato,Tamil,Legit
Received the item in good condition. Works as expected.,1,Delhi,Snapdeal,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Tamil Nadu,Amazon,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Tamil Nadu,Myntra,English,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Karnataka,Zomato,Bengali,Legit
Fits well and is comfortable for long periods of use.,2,Karnataka,Snapdeal,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Tamil Nadu,Amazon,Hindi,Fake
Received the item in good condition. Works as expected.,5,Maharashtra,Snapdeal,Tamil,Legit
Great product. Great service. Great everything.,3,Maharashtra,Myntra,Bengali,Fake
Decent product for the price. Packaging could be better though.,1,Karnataka,Myntra,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Zomato,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Maharashtra,Amazon,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Karnataka,Flipkart,Telugu,Fake
Great product. Great service. Great everything.,2,Delhi,Amazon,Tamil,Fake
Fits well and is comfortable for long periods of use.,5,Maharashtra,Amazon,Bengali,Legit
Received the item in good condition. Works as expected.,5,Delhi,Snapdeal,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Snapdeal,Bengali,Fake
Fits well and is comfortable for long periods of use.,3,Delhi,Zomato,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Maharashtra,Amazon,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Delhi,Snapdeal,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Myntra,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,3,Karnataka,Amazon,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Karnataka,Amazon,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,West Bengal,Snapdeal,English,Fake
Decent product for the price. Packaging could be better though.,5,Karnataka,Myntra,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,Karnataka,Zomato,Bengali,Legit
Fits well and is comfortable for long periods of use.,1,West Bengal,Zomato,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Myntra,Tamil,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,West Bengal,Myntra,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Delhi,Flipkart,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Myntra,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Delhi,Zomato,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Maharashtra,Zomato,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Maharashtra,Myntra,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Karnataka,Myntra,Bengali,Fake
Decent product for the price. Packaging could be better though.,5,West Bengal,Amazon,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Amazon,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,West Bengal,Amazon,Hindi,Fake
Fits well and is comfortable for long periods of use.,3,Maharashtra,Flipkart,English,Legit
Received the item in good condition. Works as expected.,5,West Bengal,Snapdeal,Bengali,Legit
OMG this is the best phone in the universe!!!!,2,West Bengal,Myntra,Telugu,Fake
OMG this is the best phone in the universe!!!!,1,Tamil Nadu,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,3,West Bengal,Flipkart,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,West Bengal,Zomato,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Snapdeal,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Delhi,Flipkart,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Maharashtra,Snapdeal,Hindi,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,West Bengal,Zomato,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,West Bengal,Zomato,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Myntra,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Tamil Nadu,Amazon,Hindi,Fake
Fits well and is comfortable for long periods of use.,4,Tamil Nadu,Flipkart,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Delhi,Flipkart,Hindi,Fake
Received the item in good condition. Works as expected.,1,Karnataka,Zomato,Tamil,Legit
Great product. Great service. Great everything.,4,Karnataka,Snapdeal,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Amazon,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,Tamil Nadu,Flipkart,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,Maharashtra,Zomato,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,West Bengal,Myntra,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Karnataka,Zomato,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,Karnataka,Snapdeal,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Delhi,Zomato,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Tamil Nadu,Zomato,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,West Bengal,Amazon,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,West Bengal,Flipkart,Hindi,Fake
Decent product for the price. Packaging could be better though.,1,West Bengal,Flipkart,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,2,West Bengal,Amazon,Tamil,Legit
Fits well and is comfortable for long periods of use.,1,Delhi,Flipkart,Tamil,Legit
Decent product for the price. Packaging could be better though.,3,Karnataka,Snapdeal,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,West Bengal,Zomato,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Tamil Nadu,Snapdeal,Tamil,Fake
OMG this is the best phone in the universe!!!!,3,West Bengal,Myntra,Hindi,Fake
Decent product for the price. Packaging could be better though.,1,Maharashtra,Flipkart,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,West Bengal,Flipkart,Bengali,Legit
OMG this is the best phone in the universe!!!!,1,Delhi,Myntra,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Karnataka,Zomato,Tamil,Legit
Decent product for the price. Packaging could be better though.,1,West Bengal,Myntra,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Maharashtra,Snapdeal,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Delhi,Flipkart,Bengali,Fake
OMG this is the best phone in the universe!!!!,5,Tamil Nadu,Snapdeal,Telugu,Fake
Great product. Great service. Great everything.,3,Delhi,Snapdeal,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Delhi,Snapdeal,English,Fake
OMG this is the best phone in the universe!!!!,1,Delhi,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Maharashtra,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,West Bengal,Zomato,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,1,Maharashtra,Flipkart,Hindi,Fake
Received the item in good condition. Works as expected.,2,West Bengal,Zomato,English,Legit
Fits well and is comfortable for long periods of use.,4,Karnataka,Zomato,Telugu,Legit
OMG this is the best phone in the universe!!!!,1,Karnataka,Amazon,Hindi,Fake
Fits well and is comfortable for long periods of use.,3,West Bengal,Amazon,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,Karnataka,Flipkart,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Zomato,Tamil,Fake
Great product. Great service. Great everything.,2,Karnataka,Zomato,Tamil,Fake
Great product. Great service. Great everything.,2,Delhi,Myntra,Hindi,Fake
Great product. Great service. Great everything.,4,Tamil Nadu,Myntra,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,West Bengal,Flipkart,Bengali,Fake
OMG this is the best phone in the universe!!!!,4,Tamil Nadu,Amazon,Tamil,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Delhi,Flipkart,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,3,West Bengal,Myntra,Hindi,Fake
OMG this is the best phone in the universe!!!!,3,West Bengal,Zomato,Telugu,Fake
OMG this is the best phone in the universe!!!!,4,West Bengal,Amazon,Telugu,Fake
Fits well and is comfortable for long periods of use.,5,Maharashtra,Myntra,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,West Bengal,Myntra,Bengali,Fake
Great product. Great service. Great everything.,3,Karnataka,Amazon,Telugu,Fake
Fits well and is comfortable for long periods of use.,3,Maharashtra,Myntra,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Maharashtra,Myntra,Tamil,Legit
Fits well and is comfortable for long periods of use.,5,Delhi,Amazon,Tamil,Legit
Fits well and is comfortable for long periods of use.,1,Delhi,Snapdeal,English,Legit
OMG this is the best phone in the universe!!!!,5,Delhi,Amazon,English,Fake
OMG this is the best phone in the universe!!!!,1,Maharashtra,Flipkart,Tamil,Fake
Fits well and is comfortable for long periods of use.,1,Karnataka,Zomato,Telugu,Legit
Fits well and is comfortable for long periods of use.,4,Tamil Nadu,Flipkart,English,Legit
Received the item in good condition. Works as expected.,2,Maharashtra,Snapdeal,Hindi,Legit
Decent product for the price. Packaging could be better though.,2,Delhi,Myntra,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,Karnataka,Snapdeal,Bengali,Legit
Fits well and is comfortable for long periods of use.,4,Karnataka,Zomato,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Maharashtra,Snapdeal,Hindi,Fake
Great product. Great service. Great everything.,1,Delhi,Zomato,Telugu,Fake
Decent product for the price. Packaging could be better though.,2,West Bengal,Snapdeal,Bengali,Legit
Great product. Great service. Great everything.,4,West Bengal,Snapdeal,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Maharashtra,Zomato,Bengali,Fake
Received the item in good condition. Works as expected.,4,Delhi,Zomato,Tamil,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,West Bengal,Myntra,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,3,Delhi,Amazon,English,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Maharashtra,Snapdeal,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Tamil Nadu,Myntra,Bengali,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Snapdeal,English,Legit
Great product. Great service. Great everything.,4,Delhi,Amazon,Hindi,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Tamil Nadu,Flipkart,English,Legit
Fits well and is comfortable for long periods of use.,2,West Bengal,Snapdeal,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Delhi,Amazon,Hindi,Fake
Fits well and is comfortable for long periods of use.,1,Karnataka,Myntra,Tamil,Legit
Received the item in good condition. Works as expected.,1,Karnataka,Flipkart,English,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Tamil Nadu,Snapdeal,Bengali,Fake
Fits well and is comfortable for long periods of use.,4,Delhi,Snapdeal,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Delhi,Amazon,Tamil,Fake
Received the item in good condition. Works as expected.,4,West Bengal,Snapdeal,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Delhi,Myntra,English,Fake
Great product. Great service. Great everything.,3,Maharashtra,Snapdeal,Tamil,Fake
Great product. Great service. Great everything.,3,West Bengal,Zomato,English,Fake
Received the item in good condition. Works as expected.,4,West Bengal,Zomato,Bengali,Legit
Decent product for the price. Packaging could be better though.,5,Delhi,Amazon,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,West Bengal,Flipkart,Tamil,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Snapdeal,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Amazon,Telugu,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Flipkart,English,Legit
Decent product for the price. Packaging could be better though.,4,Karnataka,Amazon,English,Legit
Fits well and is comfortable for long periods of use.,4,Delhi,Myntra,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,3,Maharashtra,Flipkart,English,Fake
Decent product for the price. Packaging could be better though.,5,Maharashtra,Flipkart,Bengali,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,Maharashtra,Flipkart,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Maharashtra,Snapdeal,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Amazon,Tamil,Legit
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Snapdeal,Tamil,Legit
Received the item in good condition. Works as expected.,4,Tamil Nadu,Amazon,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Maharashtra,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Delhi,Amazon,Bengali,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Karnataka,Myntra,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Delhi,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,1,Delhi,Amazon,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Tamil Nadu,Zomato,Hindi,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,2,Tamil Nadu,Amazon,Telugu,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,West Bengal,Zomato,Telugu,Fake
Received the item in good condition. Works as expected.,3,Tamil Nadu,Myntra,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,4,Karnataka,Zomato,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Tamil Nadu,Myntra,Hindi,Legit
Decent product for the price. Packaging could be better though.,5,Maharashtra,Amazon,Telugu,Legit
Received the item in good condition. Works as expected.,1,Tamil Nadu,Flipkart,English,Legit
Received the item in good condition. Works as expected.,3,West Bengal,Zomato,English,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,West Bengal,Snapdeal,Hindi,Fake
Great product. Great service. Great everything.,5,Karnataka,Snapdeal,Hindi,Fake
Fits well and is comfortable for long periods of use.,1,Karnataka,Myntra,Telugu,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Maharashtra,Myntra,English,Fake
Decent product for the price. Packaging could be better though.,5,Maharashtra,Snapdeal,Hindi,Legit
Decent product for the price. Packaging could be better though.,3,Tamil Nadu,Zomato,Hindi,Legit
OMG this is the best phone in the universe!!!!,2,West Bengal,Myntra,English,Fake
Decent product for the price. Packaging could be better though.,4,Tamil Nadu,Zomato,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,3,Karnataka,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,5,Karnataka,Flipkart,Tamil,Fake
Decent product for the price. Packaging could be better though.,4,Karnataka,Amazon,Tamil,Legit
Great product. Great service. Great everything.,2,West Bengal,Flipkart,English,Fake
Decent product for the price. Packaging could be better though.,4,West Bengal,Snapdeal,Tamil,Legit
Fits well and is comfortable for long periods of use.,3,Maharashtra,Amazon,Telugu,Legit
Received the item in good condition. Works as expected.,4,Delhi,Zomato,Bengali,Legit
Great product. Great service. Great everything.,2,Delhi,Myntra,Telugu,Fake
Decent product for the price. Packaging could be better though.,5,Karnataka,Flipkart,Bengali,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Amazon,Bengali,Legit
Received the item in good condition. Works as expected.,1,West Bengal,Zomato,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,4,Delhi,Myntra,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Karnataka,Flipkart,Tamil,Fake
OMG this is the best phone in the universe!!!!,4,Tamil Nadu,Zomato,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,5,Delhi,Flipkart,English,Legit
Great product. Great service. Great everything.,4,Tamil Nadu,Snapdeal,English,Fake
Fits well and is comfortable for long periods of use.,3,West Bengal,Flipkart,Bengali,Legit
Decent product for the price. Packaging could be better though.,4,Maharashtra,Flipkart,Hindi,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,1,West Bengal,Amazon,Telugu,Fake
Decent product for the price. Packaging could be better though.,2,Karnataka,Zomato,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Maharashtra,Zomato,English,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,4,Maharashtra,Snapdeal,Bengali,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Myntra,Bengali,Legit
Great product. Great service. Great everything.,2,West Bengal,Amazon,Bengali,Fake
Received the item in good condition. Works as expected.,1,Delhi,Flipkart,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Tamil Nadu,Snapdeal,Tamil,Fake
OMG this is the best phone in the universe!!!!,2,West Bengal,Snapdeal,Tamil,Fake
Great product. Great service. Great everything.,4,Tamil Nadu,Myntra,Bengali,Fake
OMG this is the best phone in the universe!!!!,1,Karnataka,Flipkart,Telugu,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,4,Delhi,Flipkart,Hindi,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,2,Delhi,Myntra,Tamil,Fake
Decent product for the price. Packaging could be better though.,4,West Bengal,Snapdeal,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Karnataka,Myntra,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,West Bengal,Snapdeal,Hindi,Fake
Decent product for the price. Packaging could be better though.,4,Maharashtra,Zomato,Telugu,Legit
OMG this is the best phone in the universe!!!!,3,West Bengal,Snapdeal,Telugu,Fake
Received the item in good condition. Works as expected.,5,Tamil Nadu,Snapdeal,Telugu,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,4,Tamil Nadu,Snapdeal,Bengali,Fake
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Flipkart,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Karnataka,Flipkart,English,Fake
Fits well and is comfortable for long periods of use.,2,Tamil Nadu,Zomato,Bengali,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,5,Delhi,Snapdeal,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Tamil Nadu,Zomato,Hindi,Fake
OMG this is the best phone in the universe!!!!,5,Maharashtra,Snapdeal,Hindi,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Myntra,English,Legit
Decent product for the price. Packaging could be better though.,5,Tamil Nadu,Zomato,Tamil,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Myntra,Tamil,Legit
OMG this is the best phone in the universe!!!!,5,Karnataka,Flipkart,Bengali,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,1,West Bengal,Snapdeal,Telugu,Fake
Received the item in good condition. Works as expected.,4,West Bengal,Myntra,English,Legit
Superb!!! 10/10 would buy again. Incredible!!!!,2,Karnataka,Myntra,Tamil,Fake
Great product. Great service. Great everything.,5,West Bengal,Zomato,English,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,4,Tamil Nadu,Myntra,Tamil,Fake
Received the item in good condition. Works as expected.,3,Karnataka,Zomato,Tamil,Legit
OMG this is the best phone in the universe!!!!,3,Maharashtra,Myntra,English,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,5,West Bengal,Myntra,English,Fake
Fits well and is comfortable for long periods of use.,1,Karnataka,Zomato,Telugu,Legit
Fits well and is comfortable for long periods of use.,2,Maharashtra,Flipkart,Bengali,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,5,Delhi,Zomato,Hindi,Fake
This product changed my life!!! Best ever!!! Must buy now!!!,2,Tamil Nadu,Myntra,Telugu,Fake
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,2,Tamil Nadu,Myntra,Telugu,Fake
Superb!!! 10/10 would buy again. Incredible!!!!,4,Karnataka,Flipkart,Telugu,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,5,Tamil Nadu,Snapdeal,Tamil,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,1,Delhi,Flipkart,English,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,1,Maharashtra,Zomato,English,Legit
Great product. Great service. Great everything.,1,Delhi,Flipkart,Bengali,Fake
Battery lasts around 6 hours during regular usage. Happy so far.,2,Delhi,Amazon,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,3,Tamil Nadu,Snapdeal,Bengali,Legit
OMG this is the best phone in the universe!!!!,1,Karnataka,Amazon,Hindi,Fake
Fits well and is comfortable for long periods of use.,5,Tamil Nadu,Snapdeal,Bengali,Legit
Fits well and is comfortable for long periods of use.,3,Tamil Nadu,Snapdeal,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,2,West Bengal,Zomato,Hindi,Legit
Fits well and is comfortable for long periods of use.,1,Maharashtra,Snapdeal,Telugu,Legit
Fits well and is comfortable for long periods of use.,3,Delhi,Myntra,Hindi,Legit
Decent product for the price. Packaging could be better though.,4,West Bengal,Amazon,Telugu,Legit
Received the item in good condition. Works as expected.,5,Karnataka,Amazon,English,Legit
Decent product for the price. Packaging could be better though.,5,West Bengal,Snapdeal,Bengali,Legit
Great product. Great service. Great everything.,1,Karnataka,Flipkart,Tamil,Fake
Sound quality is clear with decent bass. Satisfied with the purchase.,2,Delhi,Flipkart,Tamil,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Karnataka,Amazon,Tamil,Fake
Decent product for the price. Packaging could be better though.,2,West Bengal,Zomato,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Tamil Nadu,Amazon,Hindi,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,West Bengal,Flipkart,Bengali,Fake
Decent product for the price. Packaging could be better though.,3,Delhi,Flipkart,Bengali,Legit
This product changed my life!!! Best ever!!! Must buy now!!!,5,Tamil Nadu,Flipkart,Hindi,Fake
Fits well and is comfortable for long periods of use.,4,Karnataka,Zomato,Telugu,Legit
Decent product for the price. Packaging could be better though.,2,West Bengal,Zomato,Hindi,Legit
Decent product for the price. Packaging could be better though.,2,Tamil Nadu,Myntra,Telugu,Legit
Sound quality is clear with decent bass. Satisfied with the purchase.,1,Delhi,Snapdeal,Telugu,Legit
Amazing!!! Amazing!!! Amazing!!! Just wow!!!,1,Karnataka,Zomato,Tamil,Fake
Fits well and is comfortable for long periods of use.,1,Delhi,Zomato,Hindi,Legit
Fits well and is comfortable for long periods of use.,4,Delhi,Snapdeal,Hindi,Legit
OMG this is the best phone in the universe!!!!,1,Tamil Nadu,Snapdeal,Telugu,Fake
Received the item in good condition. Works as expected.,1,Delhi,Flipkart,Telugu,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Maharashtra,Flipkart,Hindi,Legit
Battery lasts around 6 hours during regular usage. Happy so far.,5,Karnataka,Snapdeal,Hindi,Legit
Great product. Great service. Great everything.,2,Tamil Nadu,Snapdeal,English,Fake
